C0015458	MONDO:0007710
C0015523	MONDO:0012897
C0015526	MONDO:0009315
C0015624	MONDO:0001083
C0015625	MONDO:0019391
C0015634	MONDO:0001971
C0015645	MONDO:0004830
C0015652	MONDO:0004668
C0015655	MONDO:0005759
C0015656	MONDO:0004672
C0015674	MONDO:0005404
C0015702	MONDO:0001761
C0015773	MONDO:0007603
C0015923	MONDO:0016011
C0015934	MONDO:0005030
C0016034	MONDO:0005219
C0016037	MONDO:0007606
C0016052	MONDO:0006761
C0016053	MONDO:0005546
C0016085	MONDO:0016075
C0016089	MONDO:0020959
C0016627	MONDO:0018695
C0016667	MONDO:0010383
C0016719	MONDO:0100339
C0016724	MONDO:0003962
C0016735	MONDO:0001121
C0016751	MONDO:0009249
C0016756	MONDO:0009251
C0016782	MONDO:0016989
C0016788	MONDO:0009254
C0016867	MONDO:0100595
C0016873	MONDO:0010103
C0016952	MONDO:0018116
C0017083	MONDO:0017719
C0017097	MONDO:0019336
C0017105	MONDO:0005767
C0017150	MONDO:0003523
C0017155	MONDO:0007652
C0017168	MONDO:0007186
C0017205	MONDO:0018150
C0017409	MONDO:0005769
C0017455	MONDO:0005772
C0017495	MONDO:0007656
C0017531	MONDO:0015564
C0017536	MONDO:0001103
C0017547	MONDO:0020479
C0017551	MONDO:0007745
C0017589	MONDO:0005774
C0017671	MONDO:0021064
C0017689	MONDO:0019959
C0017919	MONDO:0002412
C0017920	MONDO:0002413
C0017921	MONDO:0009290
C0017922	MONDO:0009291
C0017923	MONDO:0009292
C0017924	MONDO:0009293
C0017925	MONDO:0009294
C0017926	MONDO:0009295
C0018013	MONDO:0005776
C0018021	MONDO:0005397
C0018022	MONDO:0006742
C0018023	MONDO:0006869
C0018024	MONDO:0006986
C0018050	MONDO:0002259
C0018051	MONDO:0001967
C0018055	MONDO:0001969
C0018078	MONDO:0020971
C0018081	MONDO:0004277
C0018099	MONDO:0005393
C0018133	MONDO:0013730
C0018179	MONDO:0001490
C0018190	MONDO:0005777
C0018197	MONDO:0006828
C0018202	MONDO:0002341
C0018203	MONDO:0018305
C0018206	MONDO:0006036
C0018213	MONDO:0005364
C0018378	MONDO:0016218
C0018418	MONDO:0001571
C0018425	MONDO:0009796
C0018477	MONDO:0005778
C0018522	MONDO:0009318
C0018523	MONDO:0009319
C0018553	MONDO:0016063
C0018572	MONDO:0005779
C0018609	MONDO:0009324
C0018621	MONDO:0005324
C0018781	MONDO:0013098
C0018889	MONDO:0004664
C0018987	MONDO:0016240
C0019034	MONDO:0016669
C0019069	MONDO:0010602
C0019088	MONDO:0006784
C0019097	MONDO:0017874
C0019099	MONDO:0020501
C0019100	MONDO:0005358
C0019101	MONDO:0018081
C0019103	MONDO:0017882
C0019104	MONDO:0018087
C0019114	MONDO:0001436
C0019159	MONDO:0005790
C0019163	MONDO:0005344
C0019196	MONDO:0005231
C0019202	MONDO:0010200
C0019212	MONDO:0001382
C0019243	MONDO:0019623
C0019247	MONDO:0003847
C0019338	MONDO:0005791
C0019342	MONDO:0005770
C0019343	MONDO:0006558
C0019345	MONDO:0043653
C0019348	MONDO:0004609
C0019360	MONDO:0005609
C0019362	MONDO:0021032
C0019364	MONDO:0005883
C0019655	MONDO:0018312
C0019693	MONDO:0005109
C0019880	MONDO:0004737
C0020071	MONDO:0018213
C0020074	MONDO:0009746
C0020075	MONDO:0012092
C0020097	MONDO:0005801
C0020224	MONDO:0004585
C0020302	MONDO:0020366
C0020413	MONDO:0005802
C0020428	MONDO:0003009
C0020435	MONDO:0002408
C0020437	MONDO:0001566
C0020445	MONDO:0005439
C0020450	MONDO:0006791
C0020456	MONDO:0002909
C0020459	MONDO:0002177
C0020473	MONDO:0021187
C0020474	MONDO:0007759
C0020476	MONDO:0037748
C0020479	MONDO:0018473
C0020481	MONDO:0007762
C0020497	MONDO:0007244
C0020498	MONDO:0007127
C0020501	MONDO:0002474
C0020502	MONDO:0001741
C0020503	MONDO:0006964
C0020506	MONDO:0006793
C0020514	MONDO:0005804
C0020550	MONDO:0004425
C0020551	MONDO:0005333
C0020579	MONDO:0006798
C0020597	MONDO:0017774
C0020607	MONDO:0005805
C0020615	MONDO:0004946
C0020619	MONDO:0002146
C0020623	MONDO:0001822
C0020626	MONDO:0001220
C0020630	MONDO:0018570
C0020635	MONDO:0005152
C0020676	MONDO:0005420
C0020732	MONDO:0043543
C0020807	MONDO:0008346
C0021099	MONDO:0004592
C0021100	MONDO:0018182
C0021141	MONDO:0006802
C0021171	MONDO:0010631
C0021192	MONDO:0001391
C0021345	MONDO:0005810
C0021400	MONDO:0005812
C0021670	MONDO:0024677
C0021832	MONDO:0024270
C0021874	MONDO:0000939
C0021933	MONDO:0007835
C0021943	MONDO:0043678
C0022104	MONDO:0005052
C0022283	MONDO:0010302
C0022340	MONDO:0015674
C0022350	MONDO:0009380
C0022354	MONDO:0006874
C0022387	MONDO:0002441
C0022541	MONDO:0010787
C0022575	MONDO:0000948
C0022584	MONDO:0017666
C0022603	MONDO:0008420
C0022610	MONDO:0018477
C0022716	MONDO:0010651
C0022735	MONDO:0006823
C0022739	MONDO:0007864
C0022783	MONDO:0006491
C0022790	MONDO:0004829
C0022797	MONDO:0019260
C0022802	MONDO:0006825
C0022806	MONDO:0006826
C0022810	MONDO:0017881
C0022893	MONDO:0002008
C0022951	MONDO:0100345
C0022972	MONDO:0018556
C0023003	MONDO:0007874
C0023049	MONDO:0024954
C0023092	MONDO:0005820
C0023138	MONDO:0009514
C0023182	MONDO:0043327
C0023195	MONDO:0009515
C0023240	MONDO:0005823
C0023241	MONDO:0005824
